iteration,best_cost,iteration_best,avg_pheromone,alpha,beta,q0,convergence_factor
0,66,66,0.09007309588256118,1.0,2.5,0.9,1.0
1,66,66,0.07575757575756961,1.0,2.5,0.9005,1.0
2,66,68,0.0687329110212301,1.0,2.5,0.901,1.0
3,66,68,0.062444640812477706,1.0,2.5,0.9015,1.0
4,66,67,0.05691371609563618,1.0,2.5,0.902,1.0
5,66,67,0.05189697546105135,1.0,2.5,0.9025,1.0
6,66,66,0.047456464302585315,1.0,2.5,0.903,1.0
7,65,65,0.04350779002909662,1.0,2.5,0.9035,1.0
8,65,68,0.03991358569440699,1.0,2.5,0.904,1.0
9,65,66,0.03670965964357557,1.0,2.5,0.9045000000000001,1.0
10,65,67,0.03417887675507539,0.9,2.75,0.81,0.007050116453778216
11,65,69,0.03190270030493109,0.9,2.75,0.81,0.0075368915162559325
12,65,69,0.029918168277716584,0.9,2.75,0.81,0.007692307692307693
13,65,70,0.028084365154006734,0.9,2.75,0.81,0.0075368915162559325
14,65,67,0.02643316744843441,0.9,2.75,0.81,0.007050116453778214
15,65,68,0.024950234817518978,0.9,2.75,0.81,0.006153846153846154
16,65,66,0.023674739592011156,0.9,2.75,0.81,0.004615384615384616
17,65,67,0.022501019950886356,0.9,2.75,0.81,0.0
18,65,68,0.021510702061822314,0.9,2.75,0.81,0.0
19,65,69,0.020614713690668512,0.9,2.75,0.81,0.0
20,65,68,0.01973752799158129,0.9,2.75,0.81,0.0
21,65,68,0.01897937595936006,0.9,2.75,0.81,0.0
22,65,67,0.018249533400801314,0.9,2.75,0.81,0.0
23,65,65,0.017667523576498267,0.9,2.75,0.81,0.0
24,65,67,0.017136423784491896,0.9,2.75,0.81,0.0
25,65,70,0.016609416143478876,0.9,2.75,0.81,0.0
26,65,66,0.016206775413698724,0.9,2.75,0.81,0.0
27,65,68,0.015834289702351165,0.9,2.75,0.81,0.0
28,64,64,0.015416676004273043,0.9,2.75,0.81,0.0
29,64,68,0.015084944083772051,0.9,2.75,0.81,0.0046875
30,64,66,0.014823936237954761,0.9,2.75,0.81,0.00625
31,64,68,0.014500604423558222,0.9,2.75,0.81,0.007160274523368501
32,64,68,0.014302080284759903,0.9,2.75,0.81,0.007654655446197431
33,64,65,0.014108116965206747,0.9,2.75,0.81,0.0078125
34,64,69,0.013872099353931395,0.9,2.75,0.81,0.007654655446197431
35,64,71,0.013621922905701637,0.9,2.75,0.81,0.007160274523368499
36,64,69,0.013441108527063084,0.9,2.75,0.81,0.00625
37,64,69,0.013237169037498478,0.9,2.75,0.81,0.004687500000000001
38,64,70,0.013090179397331909,0.9,2.75,0.81,0.0
39,64,71,0.013000962108094769,0.9,2.75,0.81,0.0
40,64,70,0.01290307400984987,0.9,2.75,0.81,0.0
41,64,67,0.012841644187558341,0.9,2.75,0.81,0.0
42,64,69,0.012764452927946675,0.9,2.75,0.81,0.0
43,64,70,0.012683968162583752,0.9,2.75,0.81,0.0
44,64,66,0.012594879980096015,0.9,2.75,0.81,0.0
45,64,72,0.012552747928105238,0.9,2.75,0.81,0.0
46,64,69,0.0124923757150872,0.9,2.75,0.81,0.0
47,64,67,0.012515655601112606,0.9,2.75,0.81,0.0
48,64,69,0.012405012856732126,0.9,2.75,0.81,0.0
49,64,68,0.012389031639300732,0.9,2.75,0.81,0.0
50,64,68,0.012397925983876257,0.9,2.75,0.81,0.0
51,64,70,0.012359138897514586,0.9,2.75,0.81,0.0
52,64,65,0.012287746807192274,0.9,2.75,0.81,0.0
53,64,66,0.078125,1.0,2.5,0.9,0.0
54,64,64,0.07099042871772573,0.9,2.75,0.81,0.0
55,64,70,0.06464515941471002,0.9,2.75,0.81,0.0
56,64,68,0.05910746849600567,0.9,2.75,0.81,0.0
57,64,69,0.054086454883025534,0.9,2.75,0.81,0.0
58,64,71,0.04965258193008927,0.9,2.75,0.81,0.0
59,64,67,0.045747839309080884,0.9,2.75,0.81,0.0
60,64,67,0.042295009304284516,0.9,2.75,0.81,0.0
61,64,68,0.03919112807257073,0.9,2.75,0.81,0.0
62,64,68,0.036353883937218716,0.9,2.75,0.81,0.0
63,64,68,0.033781714472805154,0.9,2.75,0.81,0.0
64,64,68,0.031499587666908406,0.9,2.75,0.81,0.0
65,64,68,0.02952142439175721,0.9,2.75,0.81,0.0
66,64,70,0.02773511211296354,0.9,2.75,0.81,0.0
67,64,69,0.02614295737386159,0.9,2.75,0.81,0.0
68,63,63,0.024714447089633412,0.9,2.75,0.81,0.0
69,63,69,0.023485245767397963,0.9,2.75,0.81,0.0047619047619047615
70,63,66,0.0223507370247795,0.9,2.75,0.81,0.006349206349206349
71,63,67,0.021387638147737857,0.9,2.75,0.81,0.00727392967453308
72,63,67,0.02052896603187883,0.9,2.75,0.81,0.00777615791359739
73,63,69,0.019609104872174515,0.9,2.75,0.81,0.007936507936507936
74,63,69,0.01882161434585908,0.9,2.75,0.81,0.00777615791359739
75,63,71,0.018137847864294974,0.9,2.75,0.81,0.007273929674533078
76,63,69,0.01754564939696877,0.9,2.75,0.81,0.006349206349206349
77,63,68,0.01698085394466086,0.9,2.75,0.81,0.0047619047619047615
78,63,69,0.01655071096581286,0.9,2.75,0.81,0.0
79,63,65,0.016114573843841504,0.9,2.75,0.81,0.0
80,63,69,0.015694769257800504,0.9,2.75,0.81,0.0
81,63,67,0.015323346138067594,0.9,2.75,0.81,0.0
82,63,69,0.01500542883105308,0.9,2.75,0.81,0.0
83,63,69,0.01467218132111884,0.9,2.75,0.81,0.0
84,63,68,0.014407401069644943,0.9,2.75,0.81,0.0
85,63,70,0.01412347737281888,0.9,2.75,0.81,0.0
86,63,70,0.013971165651906129,0.9,2.75,0.81,0.0
87,63,68,0.013793832975555451,0.9,2.75,0.81,0.0
88,63,67,0.013631680486083991,0.9,2.75,0.81,0.0
89,63,67,0.01354556061217256,0.9,2.75,0.81,0.0
90,63,68,0.013379791822493091,0.9,2.75,0.81,0.0
91,63,68,0.013225502860161421,0.9,2.75,0.81,0.0
92,63,70,0.013126550939096652,0.9,2.75,0.81,0.0
93,63,68,0.07936507936508023,1.0,2.5,0.9,0.0
94,63,70,0.07205944863360672,0.9,2.75,0.81,0.0
95,63,68,0.0655927819771074,0.9,2.75,0.81,0.0
96,63,69,0.059849258895663546,0.9,2.75,0.81,0.0
97,63,69,0.054749040381980384,0.9,2.75,0.81,0.0
98,63,67,0.05023462468318991,0.9,2.75,0.81,0.0
99,63,66,0.04617062357151943,0.9,2.75,0.81,0.0
