instance,cost,time,iterations
ESC07.sop,2475,0.5070734024047852,100
ESC11.sop,2354,0.916374921798706,100
ESC12.sop,1685,1.0391383171081543,100
ESC25.sop,2085,3.5937817096710205,100
ESC47.sop,2743,11.441952228546143,100
ESC63.sop,64,22.363324403762817,100
ESC78.sop,20020,33.151148557662964,100
