iteration,best_cost,iteration_best,avg_pheromone,alpha,beta,q0,convergence_factor
0,1683,1683,0.09001394054806797,1.0,2.5,0.9,1.0
1,1683,1683,0.0029708853238265003,1.0,2.5,0.9005,1.0
2,1683,1799,0.0027477924834057796,1.0,2.5,0.901,1.0
3,1683,1799,0.002561042075591941,1.0,2.5,0.9015,1.0
4,1683,1752,0.0024057112911101313,1.0,2.5,0.902,1.0
5,1683,1799,0.0022574780158536078,1.0,2.5,0.9025,1.0
6,1683,1799,0.0021252794620868565,1.0,2.5,0.903,1.0
7,1683,1799,0.002013609058006774,1.0,2.5,0.9035,1.0
8,1683,1799,0.0019474098078991532,1.0,2.5,0.904,1.0
9,1683,2244,0.0018986373739833206,1.0,2.5,0.9045000000000001,1.0
10,1675,1675,0.0018855318105940883,0.9,2.75,0.81,0.0
11,1675,1752,0.001829664629413592,0.9,2.75,0.81,0.0014328358208955223
12,1675,1854,0.0018314706356696228,0.9,2.75,0.81,0.00191044776119403
13,1675,1799,0.001766948841206174,0.9,2.75,0.81,0.0021886928692326398
14,1675,1675,0.0016675666197270734,0.9,2.75,0.81,0.002339811097583931
15,1675,1675,0.0017357267825025137,0.9,2.75,0.81,0.0023880597014925373
16,1675,1675,0.0016836933864768726,0.9,2.75,0.81,0.002339811097583931
17,1675,1799,0.0016471401362755035,0.9,2.75,0.81,0.00218869286923264
18,1675,1683,0.0016391141126730427,0.9,2.75,0.81,0.00191044776119403
19,1675,1675,0.0015645996184004602,0.9,2.75,0.81,0.0014328358208955227
20,1675,1675,0.0015760831602086305,0.9,2.75,0.81,0.0
21,1675,1775,0.001562750047643079,0.9,2.75,0.81,0.0
22,1675,1799,0.0015683886560001383,0.9,2.75,0.81,0.0
23,1675,1675,0.0015011499775813297,0.9,2.75,0.81,0.0
24,1675,1675,0.0015133942422291694,0.9,2.75,0.81,0.0
25,1675,1799,0.001543325294868549,0.9,2.75,0.81,0.0
26,1675,1791,0.0014992315628479483,0.9,2.75,0.81,0.0
27,1675,1799,0.001468282612648935,0.9,2.75,0.81,0.0
28,1675,1675,0.0014118817789350038,0.9,2.75,0.81,0.0
29,1675,1675,0.001382547025787101,0.9,2.75,0.81,0.0
30,1675,1675,0.001402902887057014,0.9,2.75,0.81,0.0
31,1675,1752,0.0014164752754084972,0.9,2.75,0.81,0.0
32,1675,1799,0.0014602536741017342,0.9,2.75,0.81,0.0
33,1675,1683,0.001459068589865694,0.9,2.75,0.81,0.0
34,1675,1799,0.0014065008326732433,0.9,2.75,0.81,0.0
35,1675,1752,0.0014401386531218733,1.0,2.5,0.9,0.0
36,1675,1752,0.0016340073826882433,0.9,2.75,0.81,0.0
37,1675,1887,0.0017089571804566029,0.9,2.75,0.81,0.0
38,1675,1675,0.001709959831286429,0.9,2.75,0.81,0.0
39,1675,1675,0.0016249815823650715,0.9,2.75,0.81,0.0
40,1675,1675,0.0015685841016345528,0.9,2.75,0.81,0.0
41,1675,1791,0.001544977535381348,0.9,2.75,0.81,0.0
42,1675,1675,0.001502264231606273,0.9,2.75,0.81,0.0
43,1675,1675,0.0015519634769244036,0.9,2.75,0.81,0.0
44,1675,1799,0.0016085957044971102,0.9,2.75,0.81,0.0
45,1675,1683,0.0015477465311731621,0.9,2.75,0.81,0.0
46,1675,1675,0.0015516252393748017,0.9,2.75,0.81,0.0
47,1675,1675,0.0015177574720820267,0.9,2.75,0.81,0.0
48,1675,1675,0.001576117409345095,0.9,2.75,0.81,0.0
49,1675,1706,0.0016023892050800396,0.9,2.75,0.81,0.0
50,1675,1752,0.0015615898083895473,0.9,2.75,0.81,0.0
51,1675,1806,0.0015766515662429374,0.9,2.75,0.81,0.0
52,1675,1752,0.001537321400989043,0.9,2.75,0.81,0.0
53,1675,1675,0.0015359729599761008,0.9,2.75,0.81,0.0
54,1675,1920,0.0015160218432685685,0.9,2.75,0.81,0.0
55,1675,1675,0.0014993870216523668,0.9,2.75,0.81,0.0
56,1675,1685,0.0015536349820961374,0.9,2.75,0.81,0.0
57,1675,1799,0.0014884573480822359,0.9,2.75,0.81,0.0
58,1675,1675,0.0014742016545051875,0.9,2.75,0.81,0.0
59,1675,1698,0.001493768076960423,0.9,2.75,0.81,0.0
60,1675,1683,0.0016139064127737343,1.0,2.5,0.9,0.0
61,1675,1752,0.0018215438346939256,0.9,2.75,0.81,0.0
