iteration,best_cost,iteration_best,avg_pheromone,alpha,beta,q0,convergence_factor
0,2543,2543,0.09000913656209847,1.0,2.5,0.9,1.0
1,2543,2573,0.0019661816751867863,1.0,2.5,0.9005,1.0
2,2543,3025,0.0017984003599631965,1.0,2.5,0.901,1.0
3,2543,2822,0.0016683499784297849,1.0,2.5,0.9015,1.0
4,2543,2956,0.0015497151404565749,1.0,2.5,0.902,1.0
5,2543,2715,0.001461466774771749,1.0,2.5,0.9025,1.0
6,2543,2715,0.001374351837380261,1.0,2.5,0.903,1.0
7,2543,2678,0.0012896095069744307,1.0,2.5,0.9035,1.0
8,2543,2715,0.0012067204829483559,1.0,2.5,0.904,1.0
9,2509,2509,0.0011514425656654079,1.0,2.5,0.9045000000000001,1.0
10,2509,2598,0.0011458288468388217,0.9,2.75,0.81,0.0040653646871263455
11,2509,2715,0.0010876140357806295,0.9,2.75,0.81,0.005420486249501794
12,2509,2715,0.0010211934240560983,0.9,2.75,0.81,0.006209947135452315
13,2509,2715,0.0009683419065736713,0.9,2.75,0.81,0.00663871273452595
14,2509,2715,0.0009406941269579581,0.9,2.75,0.81,0.006775607811877242
15,2509,2715,0.0009243211528280243,0.9,2.75,0.81,0.00663871273452595
16,2509,2715,0.0009057249244793918,0.9,2.75,0.81,0.006209947135452315
17,2495,2495,0.0008874344772381,0.9,2.75,0.81,0.005420486249501794
18,2495,2715,0.0008612592442489989,0.9,2.75,0.81,0.004590884509266967
19,2495,2800,0.0008461340627344221,0.9,2.75,0.81,0.0022444889779559118
20,2495,2947,0.0008141465568907468,0.9,2.75,0.81,0.0025713851594942588
21,2495,2715,0.0007976038737348012,0.9,2.75,0.81,0.0027489263646464524
22,2495,2889,0.0008656435069870328,0.9,2.75,0.81,0.0028056112224448897
23,2495,2715,0.0008241338045920295,0.9,2.75,0.81,0.0027489263646464524
24,2495,2789,0.0008107816590354925,0.9,2.75,0.81,0.0025713851594942588
25,2495,2764,0.0007727998604076564,0.9,2.75,0.81,0.0022444889779559118
26,2495,2771,0.000787501647027379,0.9,2.75,0.81,0.0016833667334669338
27,2495,2678,0.0007689123645724621,0.9,2.75,0.81,0.0
28,2427,2427,0.0007750863956721587,0.9,2.75,0.81,0.0
29,2427,2744,0.0008553795163355634,0.9,2.75,0.81,0.008405438813349816
30,2352,2352,0.0008588858453990397,1.0,2.5,0.915,0.011207251751133086
31,2352,2764,0.0008740917573819833,1.0,2.5,0.9155,0.019902728148201668
32,2352,3028,0.0008397242330027547,1.0,2.5,0.9159999999999999,0.024177788543135948
33,2352,2800,0.0008166215675007744,1.0,2.5,0.9165,0.026440143425187506
34,2352,2800,0.0007841287288847729,1.0,2.5,0.917,0.027196796948627783
35,2352,2947,0.0007461374748875572,1.0,2.5,0.9175,0.026576666431247665
36,2352,3028,0.0007182354716775968,1.0,2.5,0.918,0.02447532404981059
37,2352,2947,0.0006891992011263587,1.0,2.5,0.9185000000000001,0.020440954735559205
38,2352,2543,0.0007070891877854569,1.0,2.5,0.919,0.012755102040816327
39,2352,2743,0.0007676131043763656,0.9,2.75,0.81,0.009566326530612245
40,2352,2509,0.0007746104368863897,0.9,2.75,0.81,0.0
41,2352,2397,0.0008084090923430432,0.9,2.75,0.81,0.0
42,2352,2764,0.0007903868218978316,0.9,2.75,0.81,0.0
43,2352,2678,0.0007876130403782482,0.9,2.75,0.81,0.0
44,2352,2715,0.0007675749596723095,0.9,2.75,0.81,0.0
45,2352,2602,0.0007789164775228416,0.9,2.75,0.81,0.0
