iteration,best_cost,iteration_best,avg_pheromone,alpha,beta,q0,convergence_factor
0,2641,2641,0.09000407540653879,1.0,2.5,0.9,1.0
1,2641,2694,0.0018932222642938023,1.0,2.5,0.9005,1.0
2,2641,3134,0.0017225540745201017,1.0,2.5,0.901,1.0
3,2641,2926,0.0015701693707981395,1.0,2.5,0.9015,1.0
4,2641,2960,0.0014403912188845857,1.0,2.5,0.902,1.0
5,2641,2641,0.0013369538288723853,1.0,2.5,0.9025,1.0
6,2641,3384,0.0012477379767442522,1.0,2.5,0.903,1.0
7,2641,3384,0.001158291470896107,1.0,2.5,0.9035,1.0
8,2641,3011,0.001085963248528454,1.0,2.5,0.904,1.0
9,2641,3384,0.0009967513861414952,1.0,2.5,0.9045000000000001,1.0
10,2400,2400,0.0009362295764448668,0.9,2.75,0.81,0.0
11,2400,2720,0.0008840307236346609,1.0,2.5,0.9055000000000001,0.030125
12,2400,3240,0.0008407237556722442,1.0,2.5,0.906,0.04016666666666667
13,2400,2436,0.000775424996027904,1.0,2.5,0.9065000000000001,0.04601669760351489
14,2400,3240,0.0007652601842428585,1.0,2.5,0.907,0.049193919000895495
15,2400,3240,0.000697549202744553,1.0,2.5,0.9075,0.050208333333333334
16,2400,2720,0.0006969056720917602,1.0,2.5,0.908,0.049193919000895495
17,2400,3240,0.0006875587189996238,1.0,2.5,0.9085,0.04601669760351489
18,2400,2726,0.0006478488680176824,1.0,2.5,0.909,0.04016666666666666
19,2400,3384,0.0006077559844510239,1.0,2.5,0.9095000000000001,0.030125
20,2400,2720,0.0006064173596614963,0.9,2.75,0.81,0.0
21,2400,3154,0.0005915400626762063,0.9,2.75,0.81,0.0
22,2400,2926,0.000594130855506762,0.9,2.75,0.81,0.0
23,2400,2848,0.0005818754746852299,0.9,2.75,0.81,0.0
24,2400,2765,0.0005891661713460003,0.9,2.75,0.81,0.0
25,2400,2720,0.0005750049043133015,0.9,2.75,0.81,0.0
26,2400,2720,0.0005466975719638182,0.9,2.75,0.81,0.0
27,2400,2796,0.0005308971578759365,0.9,2.75,0.81,0.0
28,2400,2708,0.0005348852884377694,0.9,2.75,0.81,0.0
29,2400,2871,0.0005188552674910596,0.9,2.75,0.81,0.0
30,2400,2720,0.0005243098954379561,0.9,2.75,0.81,0.0
31,2400,2400,0.0005246030624924589,0.9,2.75,0.81,0.0
32,2400,2641,0.0005085700850297627,0.9,2.75,0.81,0.0
33,2400,2641,0.0005006383594581073,0.9,2.75,0.81,0.0
34,2400,2641,0.0004852121083650408,0.9,2.75,0.81,0.0
35,2400,2796,0.002083333333333358,1.0,2.5,0.9,0.0
36,2400,2641,0.001901861569215396,0.9,2.75,0.81,0.0
37,2400,2481,0.0017523738130934474,0.9,2.75,0.81,0.0
38,2400,2641,0.0016064829779818448,0.9,2.75,0.81,0.0
39,2400,2725,0.001489422605950226,0.9,2.75,0.81,0.0
40,2400,2835,0.00139044092428683,0.9,2.75,0.81,0.0
41,2400,2641,0.0012912031546531793,0.9,2.75,0.81,0.0
42,2400,2641,0.001206047246983946,0.9,2.75,0.81,0.0
43,2400,2915,0.0011459806251789442,0.9,2.75,0.81,0.0
44,2400,2641,0.0010716535027338403,0.9,2.75,0.81,0.0
