iteration,best_cost,iteration_best,avg_pheromone,alpha,beta,q0,convergence_factor
0,3216,3216,0.090001839733009,1.0,2.5,0.9,1.0
1,3216,3587,0.0015547263681591332,1.0,2.5,0.9005,1.0
2,3216,3479,0.0014070477616759407,1.0,2.5,0.901,1.0
3,3216,3756,0.001281281759098608,1.0,2.5,0.9015,1.0
4,3216,3619,0.0011624845755495185,1.0,2.5,0.902,1.0
5,3216,3628,0.0010602054666899406,1.0,2.5,0.9025,1.0
6,3216,3685,0.0009750017576004087,1.0,2.5,0.903,1.0
7,3216,3379,0.0008908860454027188,1.0,2.5,0.9035,1.0
8,3216,3587,0.0008163464841374344,1.0,2.5,0.904,1.0
9,3216,4019,0.0007403192295504152,1.0,2.5,0.9045000000000001,1.0
10,3216,3447,0.0006931255650152893,0.9,2.75,0.81,0.0
11,2841,2841,0.0006572417479561345,0.9,2.75,0.81,0.0
12,2841,3842,0.0006192563313200151,1.0,2.5,0.906,0.0395987328405491
13,2841,3637,0.000575215533401669,1.0,2.5,0.9065000000000001,0.05279831045406547
14,2841,3532,0.0005471854813642933,1.0,2.5,0.907,0.06048806355538332
15,2841,3756,0.0005107539051155494,1.0,2.5,0.9075,0.0646644599467576
16,2841,4019,0.00047066232340487363,1.0,2.5,0.908,0.06599788806758183
17,2841,3458,0.000436301087379198,1.0,2.5,0.9085,0.0646644599467576
18,2841,4019,0.0004031401634755179,1.0,2.5,0.909,0.06048806355538332
19,2841,3872,0.0003817520285317022,1.0,2.5,0.9095000000000001,0.05279831045406547
20,2841,3377,0.0003642722434732843,1.0,2.5,0.9100000000000001,0.0395987328405491
21,2841,3114,0.00036148530712059397,0.9,2.75,0.81,0.0
22,2841,3447,0.00035869467788613867,0.9,2.75,0.81,0.0
23,2841,3335,0.0003551800331512993,0.9,2.75,0.81,0.0
24,2841,3838,0.00035240217438074257,0.9,2.75,0.81,0.0
25,2841,3532,0.0003436970787704346,0.9,2.75,0.81,0.0
26,2841,3104,0.0003414909486111268,0.9,2.75,0.81,0.0
27,2841,3458,0.000325606206013816,0.9,2.75,0.81,0.0
28,2841,3317,0.00033192077896395934,0.9,2.75,0.81,0.0
29,2841,3420,0.00032342282548402567,0.9,2.75,0.81,0.0
30,2841,3864,0.00032425713490467066,0.9,2.75,0.81,0.0
31,2841,3307,0.00031867649693738143,0.9,2.75,0.81,0.0
32,2841,3689,0.00030602144014980985,0.9,2.75,0.81,0.0
33,2841,3278,0.00029958059326057156,0.9,2.75,0.81,0.0
34,2841,3718,0.00030041055000682137,0.9,2.75,0.81,0.0
35,2841,3541,0.0003023922471541301,0.9,2.75,0.81,0.0
36,2841,3119,0.00031381389285474676,1.0,2.5,0.9,0.0
37,2841,3772,0.00035374281028982904,0.9,2.75,0.81,0.0
38,2841,3941,0.00036004071234726505,0.9,2.75,0.81,0.0
39,2841,3033,0.0003616464048940023,0.9,2.75,0.81,0.0
40,2841,3808,0.0003455807230718541,0.9,2.75,0.81,0.0
41,2841,3113,0.00034491017946407693,0.9,2.75,0.81,0.0
42,2841,3317,0.0003494911366114376,0.9,2.75,0.81,0.0
43,2841,3047,0.0003367749047919225,0.9,2.75,0.81,0.0
44,2841,3532,0.0003316345549900612,0.9,2.75,0.81,0.0
45,2841,3557,0.0003325685949656045,0.9,2.75,0.81,0.0
46,2841,3594,0.0003294736763759747,0.9,2.75,0.81,0.0
47,2841,3656,0.0003306392079609076,0.9,2.75,0.81,0.0
48,2841,3429,0.00031668594706670076,0.9,2.75,0.81,0.0
49,2841,2955,0.0003131385780270395,0.9,2.75,0.81,0.0
50,2841,3057,0.0003133197761563859,0.9,2.75,0.81,0.0
51,2841,3270,0.00031105000012482485,0.9,2.75,0.81,0.0
52,2841,3842,0.0002998562489007909,0.9,2.75,0.81,0.0
53,2841,3615,0.00031414724406668686,0.9,2.75,0.81,0.0
54,2841,2994,0.0003106707880255339,0.9,2.75,0.81,0.0
55,2679,2679,0.0003125857084282628,0.9,2.75,0.81,0.0
56,2679,3971,0.0002976991167742245,1.0,2.5,0.9279999999999999,0.018141097424412094
57,2679,4404,0.0002883502161227671,1.0,2.5,0.9285000000000001,0.02418812989921613
58,2679,4019,0.0002728695893287571,1.0,2.5,0.929,0.027710984045645617
59,2679,2935,0.0002698437992881613,1.0,2.5,0.9295,0.029624288042618505
60,2679,3118,0.00026571134006079573,1.0,2.5,0.9299999999999999,0.030235162374020158
61,2679,3641,0.0002597265970865044,1.0,2.5,0.9305000000000001,0.029624288042618505
62,2679,3903,0.0002552978512093253,1.0,2.5,0.931,0.027710984045645617
63,2679,3582,0.0002456153552757576,1.0,2.5,0.9315,0.02418812989921613
64,2679,4019,0.000233494628024969,1.0,2.5,0.9319999999999999,0.018141097424412094
65,2679,3359,0.0002535553246757535,0.9,2.75,0.81,0.0
66,2679,2973,0.0002552179456017061,0.9,2.75,0.81,0.0
67,2679,4009,0.0002586567926470249,0.9,2.75,0.81,0.0
68,2679,2879,0.00026199745586031107,0.9,2.75,0.81,0.0
69,2679,3491,0.00025835940414268053,0.9,2.75,0.81,0.0
70,2679,3378,0.0002571658094721995,0.9,2.75,0.81,0.0
71,2679,3517,0.0002623147993241505,0.9,2.75,0.81,0.0
72,2679,4153,0.00026466449183015685,0.9,2.75,0.81,0.0
73,2679,2973,0.0002595152055573199,0.9,2.75,0.81,0.0
74,2679,3948,0.000267225325896482,0.9,2.75,0.81,0.0
75,2679,3688,0.00026584935449517467,0.9,2.75,0.81,0.0
76,2679,3243,0.0002604043362761792,0.9,2.75,0.81,0.0
77,2679,3968,0.0002546890866404457,0.9,2.75,0.81,0.0
78,2679,3383,0.0002558406836000378,0.9,2.75,0.81,0.0
79,2679,3903,0.00023988166981912036,0.9,2.75,0.81,0.0
80,2679,3062,0.001866368047779034,1.0,2.5,0.9,0.0
81,2679,3987,0.0016938480109965747,0.9,2.75,0.81,0.0
82,2679,3820,0.0015493645320471695,0.9,2.75,0.81,0.0
83,2679,3523,0.0014151570364025405,0.9,2.75,0.81,0.0
84,2679,3668,0.0013002937505819589,0.9,2.75,0.81,0.0
85,2679,3392,0.0011896256819161357,0.9,2.75,0.81,0.0
86,2679,3497,0.001096690668703359,0.9,2.75,0.81,0.0
87,2679,3047,0.0010086565509065167,0.9,2.75,0.81,0.0
88,2679,3407,0.000935242632684753,0.9,2.75,0.81,0.0
89,2679,3828,0.0008655929282580441,0.9,2.75,0.81,0.0
90,2679,3364,0.0008172160833669111,0.9,2.75,0.81,0.0
91,2679,3600,0.0007689290169758557,0.9,2.75,0.81,0.0
92,2679,3584,0.0007133476866378584,0.9,2.75,0.81,0.0
93,2679,3716,0.0006623494790904936,0.9,2.75,0.81,0.0
94,2679,3762,0.0006196554458547717,0.9,2.75,0.81,0.0
95,2679,3460,0.0005941079664322064,0.9,2.75,0.81,0.0
96,2679,3331,0.0005617428690781315,0.9,2.75,0.81,0.0
97,2679,3214,0.0005381694643027126,0.9,2.75,0.81,0.0
98,2679,3560,0.0005143327124528477,0.9,2.75,0.81,0.0
99,2679,3287,0.0004930626972501918,0.9,2.75,0.81,0.0
