generation,best_cost,avg_cost,min_cost,diversity
0,2892,3975.79,2892,701.2983572631551
1,2460,3652.16,2460,679.9138727809575
2,2460,3408.63,2460,609.3226182409446
3,2460,3260.14,2460,515.7713256861028
4,2460,3145.98,2460,536.3971099847574
5,2460,3086.79,2460,633.8025764384363
6,2460,2979.92,2460,541.8547347767666
7,2397,2892.16,2397,559.6664849711835
8,2397,2763.74,2397,563.2747042074585
9,2397,2631.45,2397,418.4823144411243
10,2397,2633.19,2397,409.93237722824483
11,2397,2638.91,2397,474.9861491664783
12,2397,2645.92,2397,492.54294594481803
13,2397,2635.76,2397,530.1262891047755
14,2397,2524.17,2397,363.30084103948894
15,2397,2536.26,2397,371.78132336092403
16,2397,2584.43,2397,445.41944849770545
17,2397,2520.0,2397,397.2249992132922
18,2397,2575.49,2397,473.90700554011653
19,2397,2546.86,2397,410.9563972004816
20,2397,2566.43,2397,463.25278747137617
21,2397,2565.43,2397,485.440465041801
22,2397,2511.14,2397,388.0851458121014
23,2397,2581.22,2397,471.38862056693733
24,2397,2549.01,2397,388.8984313416551
25,2397,2629.8,2397,551.4087957223751
26,2397,2524.75,2397,393.2322564337773
27,2397,2584.48,2397,445.9821852944352
28,2397,2596.53,2397,456.66056223413904
29,2397,2507.23,2397,424.16718060217715
30,2397,2579.97,2397,450.17417640286743
31,2262,2543.78,2262,396.4881733419043
32,2262,2632.85,2262,513.5695741571925
33,2262,2535.95,2262,433.70880496019447
34,2262,2547.52,2262,437.99537623130215
35,2262,2608.27,2262,504.1681436782772
36,2262,2552.19,2262,462.8739503363739
37,2262,2454.4,2262,408.3119395756142
38,2262,2418.39,2262,419.5394116170732
39,2262,2481.72,2262,511.17500095368524
40,2262,2418.32,2262,416.0851326351375
41,2262,2378.58,2262,361.2307899390638
42,2262,2394.75,2262,389.9161288020797
43,2262,2449.21,2262,492.25372106262444
44,2262,2398.04,2262,415.4545683946681
45,2262,2428.46,2262,448.0326197945859
46,2262,2453.01,2262,455.4060933935776
47,2262,2378.96,2262,361.60660724052036
48,2262,2354.35,2262,324.75801375793645
49,2262,2425.94,2262,443.026609133131
50,2262,2374.65,2262,344.6661101704083
51,2262,2439.34,2262,455.96188919689325
52,2262,2410.17,2262,410.90271488516606
53,2262,2418.35,2262,424.0010701637438
54,2262,2423.71,2262,441.00354409006735
55,2262,2357.88,2262,317.93201411622584
56,2262,2326.98,2262,237.44333976761698
57,2262,2405.92,2262,413.6111381478986
58,2262,2387.06,2262,349.55562704668336
59,2262,2454.39,2262,477.54467633929283
60,2262,2396.49,2262,388.45088479755066
61,2262,2373.31,2262,329.27486071669665
62,2262,2428.64,2262,486.8998566440538
