instance,cost,time,generations
ESC07.sop,2125,0.8790428638458252,32
ESC11.sop,2262,2.7567551136016846,63
ESC12.sop,1751,1.4430358409881592,37
ESC25.sop,2950,9.981513738632202,109
ESC47.sop,5064,32.80436372756958,200
ESC63.sop,84,39.57902550697327,162
ESC78.sop,19245,42.23120450973511,163
