generation,best_cost,avg_cost,min_cost,diversity
0,165,224.75,165,19.087888830355233
1,165,214.25,165,19.51992571707177
2,165,205.36,165,19.597203882186868
3,164,199.62,164,22.24220312828745
4,164,190.5,164,18.377431811871865
5,164,180.84,164,19.17170832242135
6,159,171.09,159,11.335867853852212
7,152,165.97,152,8.840197961584344
8,152,163.63,152,4.983282051018184
9,147,164.17,147,11.400925401036531
10,146,160.13,146,8.493120745638791
11,142,156.83,142,6.899355042320985
12,142,153.84,142,7.808610631860191
13,139,150.09,139,6.766232334172394
14,136,148.07,136,8.51734113441513
15,135,143.4,135,6.404685784642366
16,132,144.4,132,12.976131935210892
17,129,139.86,129,6.5007999507752885
18,128,137.15,128,6.189305292195564
19,125,136.07,125,7.927490145058522
20,122,133.38,122,6.108649605272838
21,122,131.38,122,11.379613350197802
22,117,129.27,117,10.470773610388107
23,117,129.07,117,13.200950723338073
24,117,126.85,117,13.763992879974907
25,116,125.97,116,15.566923266978609
26,116,124.98,116,8.439170575358695
27,113,124.35,113,11.230650025710888
28,113,121.35,113,6.99052930757035
29,108,122.26,108,15.890009439896504
30,108,119.73,108,9.681792189465751
31,108,121.17,108,16.86953170660051
32,108,117.27,108,7.697863339914524
33,107,115.52,107,10.762416085619437
34,107,111.73,107,5.964654223004046
35,107,111.05,107,6.0997950785251795
36,105,111.09,105,6.49937689321061
37,105,110.41,105,5.207869045972642
38,105,111.44,105,8.384891174010548
39,105,112.36,105,12.736969812321924
40,105,109.47,105,5.69641115089141
41,105,111.28,105,11.196499452954034
42,105,108.54,105,9.458773704873165
43,105,107.04,105,4.8619337716591735
44,105,106.95,105,4.3436735604785035
45,105,106.69,105,3.9387688431792993
46,105,107.36,105,6.680598775558968
47,105,106.43,105,4.089633235389208
48,105,108.31,105,14.202601874304579
49,105,107.73,105,9.734325862636817
50,102,107.34,102,6.091338112434738
51,101,107.57,101,5.689033309798775
52,101,107.68,101,6.194965698048699
53,101,106.18,101,5.0919151603301485
54,101,107.07,101,6.762033717750895
55,101,108.17,101,8.349916167243837
56,101,108.27,101,11.642040199209072
57,98,105.43,98,8.030261515044202
58,98,103.84,98,7.644239661339772
59,98,104.43,98,10.303644986120204
60,98,103.98,98,12.612676163289057
61,98,101.79,98,5.689103620079353
62,98,102.3,98,12.632893571941466
63,98,99.73,98,6.330647676186065
64,98,100.74,98,13.169373561411346
65,98,100.42,98,9.854115891342055
66,98,99.65,98,4.889529629729223
67,93,100.08,93,7.04936876606693
68,93,99.86,93,5.20772503114364
69,93,99.19,93,4.947110267620887
70,93,98.91,93,5.486519844127058
71,92,96.93,92,6.573058648757061
72,92,95.16,92,4.177846335134887
73,92,94.31,92,3.7488531579671136
74,92,94.43,92,4.3479995400183755
75,92,95.04,92,6.930973957532952
76,91,94.33,91,3.8962931101240317
77,91,96.63,91,8.524851904872014
78,90,94.5,90,5.566866263886712
79,90,93.61,90,5.1786001969644255
80,90,94.12,90,7.273623581132035
81,90,92.34,90,4.3340973685416895
82,90,96.05,90,21.980616460872973
83,90,93.01,90,13.750996327539323
84,90,91.58,90,4.296929136022609
85,90,92.11,90,5.186318540159291
86,90,94.14,90,16.227150088663137
87,90,92.49,90,6.910130244792785
88,89,91.59,89,4.624056660552506
89,89,93.51,89,14.081544659589019
90,88,92.23,88,8.180287281018925
91,88,93.62,88,14.74908810740515
92,88,92.65,88,5.591734972260398
