generation,best_cost,avg_cost,min_cost,diversity
0,2016,2597.72,2016,326.3599571025833
1,1821,2435.83,1821,339.7533533315014
2,1799,2307.81,1799,297.25694928798555
3,1792,2185.05,1792,301.3475858539437
4,1792,2027.2,1792,263.9341963444677
5,1751,1925.86,1751,185.54180229802662
6,1751,1926.34,1751,203.43117853465827
7,1751,1914.89,1751,200.8061699749288
8,1751,1866.77,1751,126.82900732876529
9,1751,1882.43,1751,197.47360608445877
10,1751,1855.96,1751,226.4405847015945
11,1751,1813.32,1751,169.01022927621867
12,1751,1837.27,1751,260.8983654605755
13,1751,1814.01,1751,205.53415750186144
14,1751,1820.58,1751,225.2602574800979
15,1751,1823.65,1751,216.03052446355815
16,1751,1788.18,1751,153.18736109744825
17,1751,1797.61,1751,172.58406038797438
18,1751,1771.63,1751,84.07385503234642
19,1751,1779.35,1751,113.00852843922884
20,1751,1790.52,1751,161.95360323253072
21,1751,1798.03,1751,161.5596765904166
22,1751,1823.53,1751,243.09748888049006
23,1751,1818.16,1751,184.09995763171702
24,1751,1803.14,1751,209.24187057087786
25,1751,1839.66,1751,249.01583162522016
26,1751,1823.68,1751,237.18928643596027
27,1751,1799.18,1751,166.13839893293786
28,1751,1806.07,1751,163.17464600850218
29,1751,1798.65,1751,179.1052972415947
30,1751,1832.91,1751,207.49357074377028
31,1751,1809.97,1751,201.6528430248381
32,1751,1788.36,1751,168.6242876930841
33,1751,1785.77,1751,139.0481826562289
34,1751,1825.98,1751,251.8113571704025
35,1751,1790.29,1751,140.6651552446447
36,1751,1798.02,1751,156.80382520844316
