generation,best_cost,avg_cost,min_cost,diversity
0,2125,2681.75,2125,266.3844730835489
1,2125,2548.75,2125,326.69509867765083
2,2125,2307.5,2125,250.96065428668297
3,2125,2179.75,2125,148.26897011849783
4,2125,2152.5,2125,107.9062092745362
5,2125,2170.75,2125,137.34331982298957
6,2125,2163.0,2125,160.72025385744013
7,2125,2175.25,2125,157.42041640143123
8,2125,2153.75,2125,120.90156119752962
9,2125,2165.5,2125,139.99017822690277
10,2125,2164.75,2125,151.6202080858617
11,2125,2178.25,2125,175.77169140677915
12,2125,2173.0,2125,159.00786144087343
13,2125,2172.0,2125,145.87151881021873
14,2125,2169.5,2125,160.29582028237667
15,2125,2171.75,2125,136.18255211296344
16,2125,2183.0,2125,175.53062410872926
17,2125,2197.75,2125,188.41758808561372
18,2125,2168.5,2125,136.04319167088076
19,2125,2183.5,2125,193.5594224004608
20,2125,2164.0,2125,147.74640435557137
21,2125,2144.0,2125,98.05100713404222
22,2125,2165.0,2125,139.95535002278405
23,2125,2146.0,2125,94.65199416811038
24,2125,2196.25,2125,188.49320279522018
25,2125,2172.0,2125,155.17248467431332
26,2125,2171.75,2125,158.06070827375157
27,2125,2164.0,2125,130.01538370516005
28,2125,2200.5,2125,189.0760429033779
29,2125,2155.5,2125,106.92170032318042
30,2125,2154.25,2125,125.30238425504919
31,2125,2172.75,2125,152.93360487479526
