generation,best_cost,avg_cost,min_cost,diversity
0,5847,9855.22,5847,1363.1102419100225
1,5847,9280.78,5847,1385.6186818890687
2,5791,8548.22,5791,1321.5388876608965
3,5791,7802.89,5791,1334.4842966104923
4,5779,7066.29,5779,1128.5763624584736
5,5779,6549.76,5779,810.5472857273659
6,5713,6352.3,5713,823.8790505893446
7,5713,6229.24,5713,594.1243661052794
8,5477,6146.89,5477,656.6966559226566
9,5477,6076.0,5477,646.744756453425
10,5316,6050.5,5316,678.4302248573541
11,5065,6108.7,5065,751.2399017624132
12,4829,5793.92,4829,667.2255642584448
13,4829,5750.45,4829,608.4677210008762
14,4829,5646.54,4829,840.9470425657017
15,4597,5372.41,4597,677.257648092659
16,4597,5120.0,4597,707.5258440509435
17,4597,5123.07,4597,646.1661280971016
18,4597,5000.44,4597,486.1819684027781
19,4597,4946.07,4597,565.0474361502759
20,4597,4982.12,4597,667.769889707525
21,4597,4803.92,4597,496.8137816123864
22,4597,4776.93,4597,502.16971742629005
23,4597,4765.24,4597,528.0583323838381
24,4597,4815.88,4597,616.4208185971659
25,4521,4842.23,4521,587.0027232475161
26,4521,4805.01,4521,458.2550489629111
27,4519,4930.18,4519,833.2631682727854
28,4390,4848.27,4390,600.8320706320528
29,4109,4780.83,4109,533.4208480177729
30,4109,4741.64,4109,514.8046332347835
31,4109,4809.7,4109,650.852172155859
32,4109,4676.34,4109,627.5315485296337
33,4109,4653.52,4109,757.3967055645279
34,4056,4386.26,4056,692.9288220300841
35,3904,4397.95,3904,657.7488635489991
36,3904,4214.77,3904,440.22609770435
37,3904,4367.39,3904,582.2785054421981
38,3904,4427.08,3904,724.824167367507
39,3594,4351.32,3594,628.9233161522955
40,3594,4325.39,3594,697.5152169666264
41,3594,4205.88,3594,698.6400114508186
42,3594,4079.67,3594,606.2307985412816
43,3594,4168.57,3594,722.9772784119845
44,3594,4177.01,3594,859.8628785451783
45,3424,4446.07,3424,883.8805264853389
46,3190,4274.06,3190,844.3864733639448
47,3190,4104.04,3190,891.234356608855
48,3190,3847.39,3190,775.2829147479003
49,3190,3780.06,3190,691.8027004862007
50,3190,3559.73,3190,696.8197163542376
51,3190,3367.64,3190,481.90603897440417
52,3190,3458.12,3190,866.7378874838689
53,3190,3322.71,3190,431.0095195004398
54,3190,3427.61,3190,801.7258121702209
55,3190,3419.45,3190,553.1090195431639
56,3190,3347.71,3190,475.07738937987773
57,2981,3316.29,2981,391.21145931580276
58,2981,3473.67,2981,632.8960112846343
59,2981,3575.46,2981,770.386570755228
60,2981,3475.85,2981,643.7192924714934
61,2981,3473.75,2981,854.2700904866094
62,2981,3471.5,2981,850.7489465171262
63,2981,3351.57,2981,1147.9512032747732
64,2981,3225.88,2981,703.6897935880554
65,2981,3268.27,2981,812.146992298808
66,2981,3309.92,2981,771.725387427419
67,2981,3286.35,2981,882.2315611561402
68,2981,3280.2,2981,661.9827792322094
69,2981,3144.32,2981,470.0303794437122
70,2981,3229.89,2981,596.658744928791
71,2981,3231.63,2981,668.117933526709
72,2981,3131.7,2981,432.20695274370576
73,2981,3254.1,2981,717.168174140487
74,2981,3367.97,2981,1233.9806923530045
75,2981,3221.9,2981,669.1557292588923
76,2981,3222.67,2981,626.5991071650196
77,2950,3124.61,2950,444.70479860239874
78,2950,3260.16,2950,608.4841447400254
79,2950,3204.16,2950,675.634778856151
80,2950,3286.52,2950,808.673809146803
81,2950,3441.67,2950,1192.0255371006108
82,2950,3331.97,2950,863.5347526880432
83,2950,3329.78,2950,954.9380668922983
84,2950,3230.71,2950,591.0120353258467
85,2950,3200.72,2950,607.4300960604438
86,2950,3091.71,2950,420.0989477492178
87,2950,3242.94,2950,672.5163019585473
88,2950,3176.47,2950,634.4131060279256
89,2950,3186.12,2950,859.4622188322185
90,2950,3177.52,2950,629.0309925591903
91,2950,3231.07,2950,793.2759577221536
92,2950,3060.19,2950,367.1721583943968
93,2950,3243.52,2950,671.5872315641506
94,2950,3162.61,2950,585.5767566254658
95,2950,3201.09,2950,582.2863401282913
96,2950,3104.52,2950,454.6495019242845
97,2950,3320.13,2950,942.68533090316
98,2950,3036.59,2950,328.2773551434823
99,2950,3293.78,2950,914.801613247375
100,2950,3197.78,2950,952.4007620744535
101,2950,3208.81,2950,918.7792302288946
102,2950,3118.3,2950,539.1496545487162
103,2950,3162.22,2950,775.0174782545232
104,2950,3157.18,2950,773.6781033478975
105,2950,3155.18,2950,814.7134880434963
106,2950,3172.85,2950,546.4795764710699
107,2950,3142.83,2950,666.922605029999
108,2950,3294.4,2950,833.2001560249494
